rname,258_coverage,259_coverage,260_coverage,261_coverage,262_coverage,263_coverage,264_coverage,265_coverage,266_coverage,267_coverage,268_coverage,269_coverage,270_coverage,271_coverage,272_coverage,273_coverage,274_coverage,275_coverage,276_coverage,277_coverage,278_coverage,279_coverage,280_coverage,281_coverage,282_coverage,283_coverage,284_coverage,285_coverage,286_coverage,287_coverage,288_coverage,289_coverage,290_coverage,291_coverage,292_coverage,293_coverage,294_coverage,295_coverage,296_coverage,297_coverage,298_coverage,299_coverage,300_coverage,301_coverage,302_coverage
1_LNODE_1_length_13274,1.40113,0.0,0.0,0.0,0.0,0.0,2.80226,0.0,0.700565,17.8983,0.0,1.40113,2.80226,0.0,0.8738229999999999,100.0,7.00565,3.84181,94.7495,7.9322,60.0377,100.0,34.2976,63.0584,97.6121,23.0885,68.4444,100.0,99.9322,100.0,100.0,98.3051,99.4652,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2_LNODE_1_length_1173,100.0,100.0,100.0,100.0,100.0,100.0,82.0972,0.0,54.8167,100.0,100.0,100.0,31.0315,8.4399,27.8772,100.0,100.0,100.0,81.9267,70.4177,73.1458,100.0,100.0,100.0,93.7766,15.8568,56.6922,100.0,100.0,100.0,100.0,78.7724,41.6027,100.0,100.0,100.0,100.0,25.5754,54.0494,100.0,100.0,100.0,100.0,100.0,54.6462
3_LNODE_1_length_5082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6592599999999997,0.0,0.0,0.0,0.0,3.65926,7.3185100000000025,0.0,62.3647,6.23647,34.6055,96.7539,87.8812,62.2467,99.8623,55.4397,58.5481,100.0,80.4643,62.05,100.0,97.5211,93.9012,100.0,100.0,82.648,100.0,96.0653,80.661,100.0,100.0,97.049,100.0,100.0,100.0,100.0,100.0
4_LNODE_1_length_5419,100.0,100.0,56.2281,100.0,100.0,100.0,18.3798,35.1541,96.3462,100.0,100.0,35.4678,12.0133,23.8051,1.7161799999999998,100.0,100.0,100.0,71.969,85.4586,97.601,100.0,100.0,100.0,98.2838,65.3995,94.8699,100.0,100.0,100.0,100.0,53.6261,43.2737,100.0,100.0,100.0,100.0,76.1949,95.4789,100.0,100.0,100.0,99.9815,95.1098,48.6068
4_LNODE_2_length_9400,100.0,100.0,67.0992,100.0,100.0,100.0,16.4451,25.476,90.1287,100.0,100.0,33.5071,6.9248,16.9237,3.7974699999999997,100.0,100.0,100.0,51.5052,69.7266,92.8305,100.0,100.0,100.0,98.9044,66.0036,93.2773,97.9896,95.8196,96.1706,99.9681,51.1967,24.4655,91.4371,90.5861,97.6705,99.8404,53.1646,62.6316,88.8842,96.5004,87.9906,92.4157,68.5565,37.5386
5_LNODE_1_length_1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.111,9.50378,17.9983,95.5425,0.0,44.0706,100.0,71.4886,99.4113,100.0,81.8335,80.656,100.0,91.3373,98.3179,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6_LNODE_1_length_1029,96.2099,100.0,36.1516,100.0,100.0,82.896,0.0,0.0,0.0,100.0,97.9592,27.1137,23.9067,0.0,0.0,73.0807,89.7959,69.2906,13.7998,18.0758,0.0,100.0,100.0,100.0,51.7979,0.0,30.0292,100.0,100.0,100.0,27.1137,18.0758,18.0758,100.0,100.0,100.0,99.9028,11.0787,0.0,100.0,90.4762,100.0,28.0855,59.4752,18.0758
7_LNODE_1_length_2167,0.0,0.0,0.0,8.58329,25.2423,0.0,0.0,0.0,0.0,25.7499,24.9192,0.0,0.0,0.0,0.0,72.9119,65.4361,8.58329,0.0,0.0,0.0,92.2012,93.8625,66.8666,0.0,7.38348,0.0,100.0,100.0,100.0,0.0,14.3055,0.0,100.0,100.0,100.0,47.6234,29.6262,25.7499,100.0,100.0,100.0,98.3849,89.9862,15.0438
8_LNODE_1_length_32340,3.4105300000000005,11.3293,14.9068,26.0845,28.7468,17.5598,7.28487,0.0,0.862682,35.54,36.2698,23.1564,10.345999999999998,1.03584,0.0,77.7651,84.2738,28.5365,5.80687,3.15389,1.4378,99.4929,99.3661,90.5445,10.7294,5.08642,0.930707,100.0,100.0,100.0,33.1932,40.4038,6.27995,100.0,100.0,100.0,93.516,47.0239,33.3323,100.0,100.0,100.0,99.9443,87.6627,14.208
9_LNODE_1_length_1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3104,0.0,0.0,0.0,0.0,0.0,99.3161,0.0,28.4587,100.0,24.9868,73.8559,100.0,90.6891,100.0,100.0,90.8995,100.0,100.0,91.7938,100.0,100.0,92.9511,100.0,100.0,100.0,100.0,100.0,98.5271,100.0,100.0,100.0,96.3177,100.0,100.0,100.0
10_LNODE_1_length_2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6386,0.0,0.0,0.0,0.0,0.0,89.7331,0.0,29.4045,98.809,0.0,58.809,100.0,89.2402,99.2608,100.0,73.2238,100.0,100.0,88.7474,100.0,100.0,65.2156,100.0,100.0,89.69200000000002,100.0,100.0,86.3244,100.0,100.0,100.0,79.6715,100.0,78.152,100.0
300_RNODE_8_length_16706,0.0,0.0,0.0,0.0,0.0,0.0,3.3399199999999998,0.0,0.0,0.0,0.0,0.0,1.11331,0.0,0.0,96.7618,1.11331,14.886,99.59899999999999,10.0018,66.134,100.0,77.7578,99.3416,99.6588,70.8027,99.5571,100.0,77.273,100.0,100.0,75.2738,100.0,100.0,89.1363,100.0,99.9282,88.4001,100.0,100.0,100.0,86.2034,100.0,84.5693,100.0
276_RNODE_3_length_1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74258,0.0,0.0,0.0,0.0,0.0,85.537,10.0378,18.6724,100.0,0.0,65.1916,100.0,58.06800000000001,94.1716,100.0,53.3189,100.0,100.0,45.3859,100.0,100.0,77.442,100.0,100.0,78.3594,100.0,100.0,78.6832,100.0,100.0,100.0,73.2866,100.0,79.9244,100.0
13_LNODE_1_length_32043,0.577349,2.32188,0.0,4.15067,1.45117,8.01423,4.99017,0.5804699999999999,0.5399,5.16493,2.90235,1.16094,2.61211,0.0,0.0,33.0805,16.6277,34.0012,2.47792,0.5804699999999999,0.0,36.0516,36.6351,26.0369,5.2148699999999995,4.7093,1.1609399999999999,100.0,100.0,100.0,55.9498,44.1407,2.9990900000000003,100.0,100.0,100.0,88.5186,40.4332,10.1426,100.0,99.9126,100.0,97.3223,71.4228,7.46497
