St_Depth	Sample
12_10	258
12_25	259
12_47	260
34_10	267
34_25	268
34_50	269
34_100	270
34_200	271
34_258	272
22_10	261
22_25	262
22_50	263
22_100	264
22_200	265
22_500	266
91_10	273
91_25	274
91_50	275
91_100	276
91_200	277
91_500	278
108_10	279
108_25	280
108_50	281
108_100	282
108_200	283
108_500	284
149_10	285
149_25	286
149_50	287
149_100	288
149_200	289
149_500	290
169_10	291
169_25	292
169_50	293
169_100	294
169_200	295
169_500	296
192_10	297
192_25	298
192_50	299
192_100	300
192_200	301
192_500	302
