#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
100_LNODE_1_length_6193_3,388401.RB2150_14456,1.07E-165,471.0,"COG0667@1|root,COG0667@2|Bacteria,1MVEH@1224|Proteobacteria,2TRHS@28211|Alphaproteobacteria,3ZG52@58840|unclassified Rhodobacteraceae",28211|Alphaproteobacteria,C,oxidoreductases (related to aryl-alcohol dehydrogenases),-,-,-,-,-,-,-,-,-,-,-,-,Aldo_ket_red
100_LNODE_1_length_6193_4,396588.Tgr7_0510,2.31E-37,127.0,"COG3492@1|root,COG3492@2|Bacteria,1MZ3I@1224|Proteobacteria,1S8SI@1236|Gammaproteobacteria,1WYYF@135613|Chromatiales",135613|Chromatiales,S,Protein of unknown function (DUF1244),-,-,-,ko:K09948,-,-,-,-,ko00000,-,-,-,DUF1244
100_LNODE_1_length_6193_5,1122139.KB907871_gene2350,1.21E-49,159.0,"COG0011@1|root,COG0011@2|Bacteria,1N1NM@1224|Proteobacteria,1SAV8@1236|Gammaproteobacteria,1XK5M@135619|Oceanospirillales",135619|Oceanospirillales,S,Thiamine-binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Thiamine_BP
100_LNODE_1_length_6193_6,1380355.JNIJ01000047_gene228,8.92E-137,417.0,"COG0457@1|root,COG2114@1|root,COG5616@1|root,COG0457@2|Bacteria,COG2114@2|Bacteria,COG5616@2|Bacteria,1MUMZ@1224|Proteobacteria,2TRUI@28211|Alphaproteobacteria,3JR8W@41294|Bradyrhizobiaceae",28211|Alphaproteobacteria,T,Adenylate cyclase,-,-,-,-,-,-,-,-,-,-,-,-,Guanylate_cyc
101_LNODE_1_length_35176_2,869662.M4PY29_9CAUD,7.2E-14,72.4,"4QDU7@10239|Viruses,4QXZ8@35237|dsDNA viruses  no RNA stage,4QPYQ@28883|Caudovirales",28883|Caudovirales,S,Staphylococcal nuclease homologue,-,-,-,-,-,-,-,-,-,-,-,-,-
101_LNODE_1_length_35176_3,95619.PM1_0217870,2.87E-49,162.0,"COG3772@1|root,COG3772@2|Bacteria,1MZJD@1224|Proteobacteria,1S6BA@1236|Gammaproteobacteria",1236|Gammaproteobacteria,G,lysozyme,ybcS,"GO:0001906,GO:0001907,GO:0003674,GO:0003796,GO:0003824,GO:0004553,GO:0008150,GO:0016032,GO:0016787,GO:0016798,GO:0019048,GO:0019058,GO:0019076,GO:0031640,GO:0035821,GO:0035890,GO:0035891,GO:0039633,GO:0040011,GO:0044003,GO:0044004,GO:0044364,GO:0044403,GO:0044419,GO:0044659,GO:0044661,GO:0051701,GO:0051704,GO:0051817,GO:0051818,GO:0051883,GO:0052126,GO:0052192,GO:0061783",3.2.1.17,ko:K01185,-,-,-,-,"ko00000,ko01000",-,-,-,Phage_lysozyme
101_LNODE_1_length_35176_7,1380394.JADL01000008_gene3764,8.84E-71,229.0,"28PTM@1|root,2ZCEU@2|Bacteria,1R5DD@1224|Proteobacteria,2TVG7@28211|Alphaproteobacteria",28211|Alphaproteobacteria,S,Family of unknown function (DUF5309),-,-,-,-,-,-,-,-,-,-,-,-,DUF5309
101_LNODE_1_length_35176_9,398578.Daci_1950,9.06E-31,119.0,"2E4HT@1|root,32ZCW@2|Bacteria,1NDD7@1224|Proteobacteria,2W54J@28216|Betaproteobacteria",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101_LNODE_1_length_35176_10,649747.HMPREF0083_00997,1.12E-28,108.0,"COG3405@1|root,COG3405@2|Bacteria,1VBUA@1239|Firmicutes,4HMXV@91061|Bacilli,26Z1A@186822|Paenibacillaceae",91061|Bacilli,G,Belongs to the glycosyl hydrolase 8 (cellulase D) family,-,-,-,-,-,-,-,-,-,-,-,-,-
101_LNODE_1_length_35176_12,70448.A0A096PAB0,1.13E-51,191.0,"291ZY@1|root,2R8WB@2759|Eukaryota,382X4@33090|Viridiplantae",33090|Viridiplantae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101_LNODE_1_length_35176_17,1054968.G0X4V3_9CAUD,3.96E-10,69.3,"4QHDC@10239|Viruses,4QVYW@35237|dsDNA viruses  no RNA stage,4QRRQ@28883|Caudovirales,4QNTD@10744|Podoviridae",10744|Podoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101_LNODE_1_length_35176_23,1121271.AUCM01000017_gene474,2E-74,233.0,"28HHC@1|root,2Z7T2@2|Bacteria,1PZ57@1224|Proteobacteria,2U3R2@28211|Alphaproteobacteria",28211|Alphaproteobacteria,S,AAA domain,-,-,-,-,-,-,-,-,-,-,-,-,AAA_24
