#name	length
1_LNODE_1_length_13274	26548
2_LNODE_1_length_1173	2346
3_LNODE_1_length_5082	10164
4_LNODE_1_length_5419	10838
4_LNODE_2_length_9400	18800
5_LNODE_1_length_1188	2376
6_LNODE_1_length_1029	2058
7_LNODE_1_length_2167	4334
8_LNODE_1_length_32340	64680
9_LNODE_1_length_1900	3800
10_LNODE_1_length_2435	4870
300_RNODE_8_length_16706	33412
276_RNODE_3_length_1853	3706
13_LNODE_1_length_32043	64086
13_LNODE_2_length_32135	64272
293_RNODE_8_length_1263	2526
15_LNODE_1_length_37843	75686
16_LNODE_1_length_35721	71442
16_LNODE_2_length_35229	70460
17_LNODE_1_length_32477	64954
17_LNODE_2_length_32687	65374
19_LNODE_1_length_2274	4548
20_LNODE_1_length_1048	2096
21_LNODE_1_length_1048	2096
22_LNODE_1_length_1125	2250
22_LNODE_2_length_1029	2092
23_LNODE_1_length_2250	4500
23_LNODE_2_length_2227	4454
259_RNODE_10_length_2234	4468
25_LNODE_1_length_2329	4658
26_LNODE_1_length_1485	2970
27_LNODE_1_length_57223	114446
27_LNODE_2_length_56570	113140
28_LNODE_1_length_1692	3384
29_LNODE_1_length_5884	11768
30_LNODE_1_length_11671	23342
31_LNODE_1_length_1807	3614
32_LNODE_1_length_57547	115094
287_RNODE_26_length_57980	115960
291_RNODE_32_length_57835	115670
33_LNODE_1_length_2415	4830
35_LNODE_1_length_6254	12508
35_LNODE_2_length_6072	12144
283_RNODE_12_length_6080	12160
280_RNODE_1_length_1020	2040
281_RNODE_4_length_1434	2868
38_LNODE_1_length_35568	71136
39_LNODE_1_length_3597	7194
40_LNODE_1_length_2942	5884
41_LNODE_1_length_32534	65068
42_LNODE_1_length_1959	3918
43_LNODE_1_length_1041	2082
44_LNODE_1_length_1871	3742
45_LNODE_1_length_1824	3648
280_RNODE_4_length_24641	49282
46_LNODE_1_length_24705	49410
47_LNODE_1_length_31767	63534
285_RNODE_6_length_30387	60774
286_RNODE_8_length_30695	61390
51_LNODE_1_length_2268	4536
52_LNODE_1_length_2177	4354
281_RNODE_8_length_2091	4182
53_LNODE_1_length_2088	4176
262_RNODE_1_length_1050	2100
56_LNODE_1_length_1008	2016
57_LNODE_1_length_24068	48136
58_LNODE_1_length_3761	7522
59_LNODE_1_length_3096	6192
60_LNODE_1_length_3264	6528
61_LNODE_1_length_6147	12294
62_LNODE_1_length_2287	4574
291_RNODE_14_length_32436	64872
63_LNODE_1_length_32436	64872
64_LNODE_1_length_1259	2518
289_RNODE_18_length_28953	57906
65_LNODE_1_length_29249	58498
293_RNODE_15_length_4864	9728
66_LNODE_1_length_4864	9728
286_RNODE_7_length_1047	2094
68_LNODE_1_length_1014	2028
277_RNODE_1_length_2097	4194
69_LNODE_1_length_2057	4114
291_RNODE_15_length_1542	3084
70_LNODE_1_length_1023	2046
287_RNODE_29_length_28576	57152
71_LNODE_1_length_28924	57848
291_NODE_6_length_1542	3134
72_LNODE_1_length_1623	3246
73_LNODE_1_length_2355	4710
74_LNODE_1_length_26987	53974
75_LNODE_1_length_32642	65284
269_RNODE_3_length_1011	2022
